date,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative,net sentiment
9/30/2024,9.571428571,14.25714286,4.771428571,9.885714286,8.314285714,7.142857143,7.628571429,21.51428571,36.57142857,18.97142857,17.6
10/1/2024,8.911764706,13.70588235,3.941176471,10.52941176,8.558823529,7.647058824,6.705882353,19.17647059,32.85294118,19.82352941,13.02941176
10/2/2024,6.489795918,13.63265306,2.755102041,7.795918367,6.693877551,4.816326531,5.163265306,14.40816327,30.18367347,16.40816327,13.7755102
10/3/2024,6.87804878,10.65853659,2.512195122,7.87804878,6.682926829,5.731707317,5.024390244,14.3902439,25.26829268,14.31707317,10.95121951
10/4/2024,9.411764706,14.26470588,4.441176471,11.26470588,9.823529412,7.5,9.382352941,24.61764706,38.26470588,19.47058824,18.79411765
10/5/2024,11,12.13793103,4.034482759,13.65517241,6.620689655,7.517241379,11.20689655,21.51724138,33.96551724,18.89655172,15.06896552
10/6/2024,11.42857143,15.64285714,5.107142857,14.07142857,9.535714286,9.178571429,11.35714286,25.25,35.78571429,22.21428571,13.57142857
10/7/2024,9.285714286,12.14285714,3.142857143,11.28571429,7.785714286,7.857142857,9.214285714,20.75,29.17857143,18.17857143,11
10/8/2024,9.514285714,14.77142857,3.857142857,13.62857143,8.114285714,7.657142857,5.371428571,21.6,34.14285714,19.77142857,14.37142857
10/9/2024,7.162162162,15.05405405,3.054054054,10.10810811,8.135135135,5.378378378,7.540540541,20.64864865,34.78378378,13.62162162,21.16216216
10/10/2024,7.707317073,17.2195122,3.926829268,12.58536585,8.951219512,9.097560976,8,21.58536585,37.07317073,21.6097561,15.46341463
10/11/2024,5.345454545,15.03636364,3.218181818,8.2,9.727272727,6.581818182,6,20.36363636,38.10909091,16.74545455,21.36363636
10/12/2024,12.28,19.72,7.64,13.24,12.88,11.04,13.56,27.44,43.68,24.48,19.2
10/13/2024,8.740740741,17.77777778,3.074074074,9.62962963,7.814814815,5.259259259,6.185185185,18.03703704,33.7037037,14.07407407,19.62962963
10/14/2024,5.03125,12.21875,2.375,9.0625,6.90625,5.75,6.71875,17.53125,28.53125,14.375,14.15625
10/15/2024,8.428571429,15.74285714,3.257142857,11.57142857,9.028571429,6.342857143,7.828571429,21.14285714,34.6,16.71428571,17.88571429
