term,estimate,std.error,statistic,p.value,se_type
(Intercept),0.02040788054144957,0.026101752295350715,0.7818586396241548,0.4355059220726889,NW
anger_lag1,0.001612746452849727,0.0036341623501604577,0.4437739147175195,0.6578330043051266,NW
joy_lag1,-2.7667684386582423e-4,0.00293110745611294,-0.09439327899385053,0.9249202603633148,NW
fear_lag1,-4.6731293845933515e-4,0.0033937590710921145,-0.13769773536368138,0.8906603570023803,NW
sadness_lag1,-0.004048669471465925,0.004411394084364169,-0.9177755135992287,0.360180893410716,NW
surprise_lag1,0.0028206326168104387,0.002531648001540142,1.114148813379463,0.26696251156448075,NW
disgust_lag1,0.002817683284160241,0.004259191055230677,0.6615536254707024,0.5092524071386613,NW
trust_lag1,5.383005594263166e-5,0.0018278841155336346,0.029449381109653363,0.9765445685449985,NW
anticipation_lag1,0.0015811344538315547,0.0029082315564130726,0.5436755716184029,0.5874560591424373,NW
positive_lag1,-7.969281871169992e-4,0.001674700279584155,-0.4758631719550943,0.6348506184382372,NW
negative_lag1,-0.001262764443063297,0.0013520419549766156,-0.9339683864212167,0.35179184016353315,NW
