term,estimate,std.error,statistic,p.value,se_type
(Intercept),0.0034990041818646644,0.021920083661966707,0.15962549394534234,0.8733852626862307,HC3
anger,5.826278857579417e-4,0.003404391169685927,0.17114011190779002,0.8643382563073506,HC3
joy,0.002562417586997935,0.0033035376918779096,0.7756586502094118,0.4391400761894161,HC3
fear,0.0028095314711696594,0.0029199765515001046,0.9621760386145206,0.3374695337964656,HC3
sadness,-0.0012191608223130201,0.0038321149980417137,-0.3181430679757876,0.7508074296689835,HC3
surprise,0.004526451320498419,0.002363940769112463,1.914790497140022,0.05737320041548065,HC3
disgust,-0.009272703860172149,0.005050057581729471,-1.8361580457458004,0.06826265782422312,HC3
trust,-5.94224107232948e-4,0.0017231897274334236,-0.3448396295386494,0.7306854401337646,HC3
anticipation,-3.6860920066589877e-4,0.002503102110819815,-0.1472609523489124,0.8831186688508894,HC3
positive,2.5397722621237378e-5,0.0016387387532969231,0.015498335271647514,0.9876546730591114,HC3
negative,-0.001763475587367758,0.0014099107759355468,-1.2507710540743993,0.21291498919334936,HC3
