term,estimate,std.error,statistic,p.value,se_type
(Intercept),0.0034990041818646644,0.02094853462346802,0.16702858909972795,0.8675666729716021,NW
anger,5.826278857579417e-4,0.003589325018959179,0.16232240955623747,0.8712647574114206,NW
joy,0.002562417586997935,0.003175734768348249,0.8068739280549836,0.4209834984020704,NW
fear,0.0028095314711696594,0.001965947576823761,1.429097858096916,0.15500140533402904,NW
sadness,-0.0012191608223130201,0.003956297202763702,-0.3081570367012281,0.7583792583370661,NW
surprise,0.004526451320498419,0.00242545018800326,1.8662314084565053,0.06391065625911171,NW
disgust,-0.009272703860172149,0.005110270529346769,-1.814523087754701,0.07154340033155748,NW
trust,-5.94224107232948e-4,0.0012242891328373728,-0.4853625596233085,0.6281089608078853,NW
anticipation,-3.6860920066589877e-4,0.002256759753640931,-0.16333559656547628,0.8704683588538389,NW
positive,2.5397722621237378e-5,0.0013097304225579457,0.019391564999791947,0.98455384071647,NW
negative,-0.001763475587367758,0.0012603415758571206,-1.399204486425413,0.16376260904731682,NW
