emotion_var,lag_used,adf_p_return,diff_return,adf_p_emotion,diff_emotion,granger_emo_to_ret_F,granger_emo_to_ret_p,granger_emo_to_ret_p_adj,granger_ret_to_emo_F,granger_ret_to_emo_p,granger_ret_to_emo_p_adj,var_causality_emo_to_ret_p,var_causality_ret_to_emo_p
anger,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.5205873438466456,0.48047361325783244
joy,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.9268200614463693,0.17719371428276476
fear,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.29402133923929896,0.8826595581209642
sadness,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.17431198177756124,0.8980361149745069
surprise,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.6882141324201576,0.9112710529457156
disgust,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.5713875441757927,0.47353351315745973
trust,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.7596998788594063,0.5253637588926934
anticipation,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.9466662497757188,0.4292055650245914
positive,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.6938758995239442,0.19044436892378425
negative,1,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,0.1964035095130967,0.9884604284696792
