company_main,lang,n_rows,hf_net_4_mean,hf_net_4_std,hf_positive_share,hf_negative_share,hf_neutral_share,hf_net_4_ci95
AMD,de,200,-0.004478999999999997,0.27164994704147877,0.07,0.085,0.845,0.03764876185375124
AMD,pt,200,-0.017737,0.15743332617956018,0.015,0.045,0.94,0.02181914581515884
AMD,es,200,-0.028805500000000005,0.30469720750452456,0.06,0.12,0.82,0.042228878480470564
AMD,fr,164,-0.03381585365853659,0.290296188482958,0.06707317073170732,0.12195121951219512,0.8109756097560976,0.04442991486096125
AMD,en,200,-0.07052900000000001,0.4787232788863924,0.185,0.275,0.54,0.06634766145523566
AMD,ja,200,-0.0802205,0.36695553525464103,0.08,0.18,0.74,0.050857442485009195
ASML,de,200,-0.0016394999999999988,0.29829264809796524,0.075,0.095,0.83,0.04134125183264009
ASML,en,200,-0.040617,0.3237979961683102,0.065,0.145,0.79,0.04487611272974466
ASML,es,200,-0.047722499999999994,0.22142504396346208,0.02,0.08,0.9,0.030687945421774315
ASML,fr,200,-0.072508,0.2675580249583218,0.02,0.12,0.86,0.037081650386546136
ASML,ja,200,-0.073481,0.29589250295593433,0.045,0.12,0.835,0.04100860868711073
ASML,nl,200,-0.09242900000000001,0.3757153028597785,0.09,0.185,0.725,0.05207148433575054
AVGO,ja,200,-0.026251000000000003,0.24274865405233684,0.04,0.06,0.9,0.033643247003245676
AVGO,de,200,-0.0500995,0.24716612331043983,0.03,0.095,0.875,0.03425547700699087
AVGO,en,200,-0.053037,0.30251375537644537,0.05,0.155,0.795,0.04192626745446301
AVGO,fr,200,-0.054910499999999994,0.260675074011314,0.03,0.09,0.88,0.036127722053862235
AVGO,pt,105,-0.05694095238095238,0.3079633272046047,0.05714285714285714,0.12380952380952381,0.819047619047619,0.05890612096295155
AVGO,es,192,-0.06254531249999999,0.2492042419758339,0.026041666666666668,0.08854166666666667,0.8854166666666666,0.035250143366046365
INTC,pt,200,-0.022809500000000003,0.22648911487205656,0.05,0.07,0.88,0.03138978984223014
INTC,es,199,-0.0342321608040201,0.2471529342327393,0.04522613065326633,0.07035175879396985,0.8844221105527639,0.034339605688689046
INTC,en,200,-0.0757575,0.4084725327286016,0.1,0.225,0.675,0.05661140477288428
INTC,ja,200,-0.0880485,0.3765438945466407,0.1,0.215,0.685,0.05218632128467109
INTC,de,200,-0.1194755,0.3029188795497706,0.05,0.17,0.78,0.041982414800298455
INTC,fr,154,-0.1268077922077922,0.3293836026833491,0.03896103896103896,0.22077922077922077,0.7402597402597403,0.05202327471906829
Micron,de,187,0.020167914438502674,0.2590580240509777,0.058823529411764705,0.053475935828877004,0.8877005347593583,0.03713062989051922
Micron,en,200,0.0180165,0.36937038509424835,0.135,0.15,0.715,0.051192123597647375
Micron,es,145,-0.0012689655172413768,0.2850073428676983,0.06896551724137931,0.08275862068965517,0.8482758620689655,0.0463904002385633
Micron,pt,92,-0.1778945652173913,0.3902643278273511,0.07608695652173914,0.2608695652173913,0.6630434782608695,0.07974822289141228
Micron,sv,160,-0.182064375,0.4273954513884437,0.11875,0.325,0.55625,0.06622561131117954
Micron,fr,200,-0.271112,0.4674078482858369,0.115,0.42,0.465,0.06477942278413475
NVDA,en,200,-0.0573735,0.35691774744323046,0.085,0.16,0.755,0.04946627607041541
NVDA,fr,200,-0.06218649999999999,0.3354154158258355,0.09,0.15,0.76,0.04648620494881097
NVDA,ja,200,-0.062679,0.3558057460237504,0.105,0.195,0.7,0.04931216053651234
NVDA,es,200,-0.0722555,0.30543043976892215,0.065,0.185,0.75,0.042330499287713264
NVDA,de,200,-0.07507,0.32742520600533825,0.05,0.155,0.795,0.04537881836556428
NVDA,pt,200,-0.09898,0.3525712742369768,0.09,0.205,0.705,0.04886388561745145
QCOM,es,200,0.012733000000000003,0.2665221044713914,0.075,0.065,0.86,0.03693807913193474
QCOM,de,200,-0.0159515,0.2449874038352578,0.035,0.08,0.885,0.033953521893210804
QCOM,en,200,-0.019018500000000004,0.27491078462889806,0.055,0.105,0.84,0.038100690886352026
QCOM,fr,200,-0.019479,0.25461127541182105,0.04,0.08,0.88,0.035287322444409845
QCOM,pt,200,-0.044502999999999994,0.2630453509841448,0.03,0.105,0.865,0.03645622568233491
QCOM,ja,200,-0.047208499999999994,0.23298174811025973,0.025,0.085,0.89,0.032289622900366306
TSMC,en,200,-0.011120000000000003,0.2961039179937615,0.06,0.11,0.83,0.041037909316461646
TSMC,de,200,-0.030825500000000002,0.2849117606497364,0.06,0.125,0.815,0.03948675544706452
TSMC,fr,200,-0.07138749999999999,0.2711644943734226,0.06,0.125,0.815,0.037581481546539834
TSMC,es,200,-0.0757195,0.3241798530993677,0.055,0.16,0.785,0.04492903540032185
TSMC,pt,200,-0.0772355,0.36457564964120487,0.13,0.2,0.67,0.050527607166890226
TSMC,ja,200,-0.111584,0.4382333624265941,0.125,0.28,0.595,0.060736045333549225
