language_code,language_name,n_rows,hf_net_4_n,hf_net_4_mean,hf_net_4_std,hf_net_4_ci95
de,German,500,500,-0.026059199999999998,0.27941599863993455,0.02449189214482739
en,English,500,500,0.0020390000000000004,0.3664370624547699,0.0321196247000687
es,Spanish,500,500,-0.08015440000000001,0.3536399177461263,0.030997905509000685
fr,French,500,500,-0.0944088,0.3385802678214963,0.02967786899180685
id,Indonesian,500,500,-0.0951184,0.48293582899936366,0.04233119182258142
ja,Japanese,500,500,-0.04108219999999999,0.3467573176991595,0.030394619015575816
nl,Dutch,500,500,-0.09867279999999999,0.3636667793915552,0.03187679868321513
pl,Polish,500,500,-0.29726520000000006,0.524238173996429,0.04595150198349002
pt,Portuguese,500,500,-0.0856832,0.3299064247570088,0.028917573125247176
tr,Turkish,500,500,-0.14831239999999998,0.42351535201575163,0.03712275737158135
